Linux 6.17.0-20-generic (turzo-HP-OmniBook-5-Laptop) 	04/19/2026 	_x86_64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:27:21 PM  1000    657504    0.00    0.00    0.00    0.00    0.00     7      0.00      0.00 5328220  238868   3.06  java
05:27:21 PM  1000    657655    0.00    0.00    0.00    0.00    0.00     7     16.00     36.00 6326748  221280   2.83  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:27:22 PM  1000    657504    0.00    0.00    0.00    0.00    0.00     7      5.00      0.00 5328220  239028   3.06  java
05:27:22 PM  1000    657655    0.00    0.00    0.00    0.00    0.00     7      3.00      0.00 6326748  220128   2.82  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:27:23 PM  1000    657504    0.00    0.00    0.00    0.00    0.00     7      0.00      0.00 5328220  239028   3.06  java
05:27:23 PM  1000    657655    0.00    0.00    0.00    0.00    0.00     7      0.00      2.00 6326748  218976   2.80  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:27:24 PM  1000    657504    0.00    0.00    0.00    0.00    0.00     7      0.00      0.00 5328220  238900   3.06  java
05:27:24 PM  1000    657655    0.00    0.00    0.00    0.00    0.00     7     18.81     63.37 6326748  220860   2.83  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:27:25 PM  1000    657504    0.00    0.00    0.00    0.00    0.00     7      0.00      1.00 5328220  238772   3.05  java
05:27:25 PM  1000    657655    1.00    0.00    0.00    0.00    1.00     7      0.00      1.00 6326748  220732   2.82  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
