Linux 6.17.0-20-generic (turzo-HP-OmniBook-5-Laptop) 	04/19/2026 	_x86_64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:22:16 PM  1000    657504    0.00    0.00    0.00    0.00    0.00     7      0.00      0.00 5328220  244308   3.12  java
05:22:16 PM  1000    657655    0.00    0.00    0.00    0.00    0.00     7      0.00      0.00 6326748  225900   2.89  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:22:17 PM  1000    657504    0.00    0.00    0.00    0.00    0.00     7      0.00      0.00 5328220  244308   3.12  java
05:22:17 PM  1000    657655    0.00    0.00    0.00    0.00    0.00     7      0.00      0.00 6326748  224620   2.87  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:22:18 PM  1000    657504    0.00    0.00    0.00    0.00    0.00     7      0.00      0.00 5328220  244308   3.12  java
05:22:18 PM  1000    657655    1.00    0.00    0.00    0.00    1.00     7      0.00      0.00 6326748  224492   2.87  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:22:19 PM  1000    657504    0.00    0.00    0.00    0.00    0.00     7      0.00      0.00 5328220  244308   3.12  java
05:22:19 PM  1000    657655    0.00    0.00    0.00    0.00    0.00     7      4.00     24.00 6326748  224980   2.88  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:22:20 PM  1000    657504    0.00    0.00    0.00    0.00    0.00     7      2.00      0.00 5328220  244180   3.12  java
05:22:20 PM  1000    657655    0.00    0.00    0.00    0.00    0.00     7      2.00      0.00 6326748  224852   2.88  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:22:21 PM  1000    657504    0.00    0.00    0.00    0.00    0.00     7      0.00      0.00 5328220  244180   3.12  java
05:22:21 PM  1000    657655    0.00    0.00    0.00    0.00    0.00     7      0.00      0.00 6326748  224852   2.88  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:22:22 PM  1000    657504    0.00    0.00    0.00    0.00    0.00     7      0.00      0.00 5328220  244180   3.12  java
05:22:22 PM  1000    657655    0.00    0.00    0.00    0.00    0.00     7      0.00      0.00 6326748  224084   2.87  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:22:23 PM  1000    657504    0.00    0.00    0.00    0.00    0.00     7      0.00      3.00 5328220  244180   3.12  java
05:22:23 PM  1000    657655    0.00    0.00    0.00    0.00    0.00     7      3.00      2.00 6326748  224084   2.87  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
